,pullup,FLprogression,weight,Npullups,height
0,<10% (so usually couple of pullups with BW),Straddle lever,59.8,20.0,165.0
1,65%-80%,Full lever,72.0,21.0,178.0
2,50%-65%,Straddle Halflay lever,68.0,17.0,175.26
3,50%-65%,Straddle lever,62.0,20.0,142.0
4,30%-50%,Full lever,45.0,20.0,160.0
5,50%-65%,Straddle Halflay lever,57.0,13.0,160.0
6,50%-65%,Straddle lever,59.0,15.0,163.0
7,>90%,Full lever,54.0,28.0,163.0
8,30%-50%,Advanced Tuck lever,58.0,20.0,164.0
9,10%-30%,Full lever,55.0,12.0,165.0
10,30%-50%,Straddle lever,70.45,26.0,1651.0
11,10%-30%,No tuck lever,76.0,8.0,167.0
12,>90%,Full lever,65.0,40.0,167.0
13,65%-80%,Straddle Halflay lever,64.0,20.0,167.0
14,50%-65%,Straddle lever,63.0,14.0,167.0
15,>90%,Full lever,64.0,27.0,167.0
16,30%-50%,Advanced Tuck lever,58.0,17.0,168.0
17,65%-80%,Advanced Tuck lever,66.0,20.0,168.0
18,65%-80%,Full lever,67.0,20.0,168.0
19,50%-65%,Straddle lever,54.0,21.0,168.0
20,30%-50%,Tuck lever,58.0,11.0,169.0
21,30%-50%,Full lever,70.0,20.0,169.0
22,80%-90%,Full lever,62.0,25.0,169.0
23,65%-80%,Straddle lever,68.0,22.0,170.0
24,80%-90%,Full lever,67.0,25.0,170.0
25,50%-65%,Advanced Tuck lever,80.0,11.0,170.0
26,>90%,Full lever,74.0,33.0,170.0
27,65%-80%,Full lever,76.0,28.0,170.0
28,30%-50%,Advanced Tuck lever,64.0,15.0,170.0
29,50%-65%,Advanced Tuck lever,83.0,24.0,170.0
30,10%-30%,Advanced Tuck lever,74.0,10.0,170.0
31,80%-90%,Full lever,62.0,42.0,170.0
32,10%-30%,Advanced Tuck lever,66.0,16.0,170.0
33,50%-65%,Full lever,75.0,22.0,170.0
34,50%-65%,Full lever,63.0,17.0,170.0
35,80%-90%,Full lever,73.0,30.0,170.0
36,30%-50%,Advanced Tuck lever,73.0,8.0,170.0
37,50%-65%,Advanced Tuck lever,73.0,27.0,170.0
38,65%-80%,Full lever,67.0,19.0,17018.0
39,80%-90%,Full lever,63.0,29.0,17018.0
40,80%-90%,Full lever,58.0,31.0,171.0
41,50%-65%,Full lever,70.0,15.0,171.0
42,<10% (so usually couple of pullups with BW),Tuck lever,67.0,9.0,172.0
43,<10% (so usually couple of pullups with BW),Advanced Tuck lever,58.0,7.0,172.0
44,65%-80%,Advanced Tuck lever,78.0,25.0,172.0
45,<10% (so usually couple of pullups with BW),Advanced Tuck lever,62.0,10.0,172.0
46,>90%,Advanced Tuck lever,64.0,15.0,172.0
47,30%-50%,Straddle Halflay lever,66.0,14.0,1725.0
48,30%-50%,Straddle lever,69.0,15.0,173.0
49,10%-30%,Advanced Tuck lever,65.0,15.0,173.0
50,65%-80%,Straddle Halflay lever,68.0,35.0,173.0
51,80%-90%,Full lever,75.0,30.0,173.0
52,30%-50%,Straddle Halflay lever,58.0,11.0,173.0
53,30%-50%,Straddle Halflay lever,58.0,11.0,173.0
54,65%-80%,Advanced Tuck lever,70.0,25.0,173.0
56,50%-65%,Full lever,73.0,17.0,173.0
57,50%-65%,Advanced Tuck lever,72.0,21.0,173.0
58,65%-80%,Straddle Halflay lever,80.0,20.0,173.0
59,50%-65%,Full lever,77.0,20.0,173.0
60,10%-30%,Advanced Tuck lever,60.0,14.0,174.0
61,65%-80%,Straddle lever,78.0,21.0,174.0
62,10%-30%,Advanced Tuck lever,73.0,13.0,174.0
63,10%-30%,Advanced Tuck lever,58.0,8.0,174.0
64,65%-80%,Straddle Halflay lever,65.0,18.0,174.0
65,30%-50%,Advanced Tuck lever,65.0,17.0,175.0
66,10%-30%,Advanced Tuck lever,65.0,12.0,175.0
67,65%-80%,Straddle Halflay lever,66.0,20.0,175.0
68,50%-65%,Tuck lever,72.7,15.0,175.0
69,65%-80%,Advanced Tuck lever,65.0,25.0,175.0
70,50%-65%,Advanced Tuck lever,77.0,23.0,175.0
71,30%-50%,Straddle Halflay lever,67.0,15.0,175.0
72,10%-30%,Tuck lever,65.0,8.0,175.0
73,80%-90%,Full lever,75.0,32.0,175.0
74,65%-80%,Full lever,78.0,25.0,175.0
75,50%-65%,Advanced Tuck lever,68.5,22.0,175.0
76,<10% (so usually couple of pullups with BW),Straddle Halflay lever,65.0,17.0,175.0
77,30%-50%,Straddle lever,63.0,25.0,175.0
78,30%-50%,Advanced Tuck lever,75.0,15.0,1753.0
79,10%-30%,Tuck lever,70.0,10.0,176.0
80,<10% (so usually couple of pullups with BW),Full lever,60.0,18.0,176.0
81,80%-90%,Full lever,75.0,28.0,176.0
82,30%-50%,Tuck lever,75.0,12.0,176.0
83,50%-65%,Straddle lever,70.0,14.0,176.0
84,30%-50%,Advanced Tuck lever,75.0,16.0,177.0
85,65%-80%,Advanced Tuck lever,73.0,16.0,177.0
86,50%-65%,Straddle Halflay lever,65.0,15.0,177.0
87,10%-30%,Straddle Halflay lever,71.0,10.0,177.0
88,65%-80%,Full lever,78.0,20.0,178.0
89,65%-80%,Full lever,75.0,35.0,178.0
90,<10% (so usually couple of pullups with BW),No tuck lever,98.0,6.0,178.0
91,50%-65%,Full lever,70.0,26.0,178.0
92,>90%,Full lever,69.0,33.0,178.0
93,50%-65%,Full lever,78.0,18.0,178.0
94,80%-90%,Tuck lever,68.0,22.0,178.0
95,>90%,Full lever,68.0,30.0,178.0
96,30%-50%,Advanced Tuck lever,80.0,15.0,178.0
97,30%-50%,Advanced Tuck lever,67.0,15.0,179.0
98,<10% (so usually couple of pullups with BW),Advanced Tuck lever,85.0,17.0,179.0
99,10%-30%,Advanced Tuck lever,71.0,9.0,180.0
100,10%-30%,Tuck lever,72.0,9.0,180.0
101,50%-65%,Full lever,70.0,20.0,180.0
102,30%-50%,Straddle lever,90.0,17.0,180.0
103,<10% (so usually couple of pullups with BW),Advanced Tuck lever,71.0,23.0,180.0
104,10%-30%,Advanced Tuck lever,75.0,10.0,180.0
105,65%-80%,Full lever,75.0,21.0,180.0
106,10%-30%,Advanced Tuck lever,75.0,12.0,180.0
107,30%-50%,Advanced Tuck lever,70.0,15.0,180.0
108,30%-50%,Advanced Tuck lever,86.6,15.0,180.0
110,65%-80%,Straddle Halflay lever,86.0,25.0,180.0
111,>90%,Advanced Tuck lever,85.0,22.0,180.0
112,<10% (so usually couple of pullups with BW),Tuck lever,75.0,15.0,180.0
113,30%-50%,Straddle lever,86.0,20.0,180.0
114,80%-90%,Full lever,57.0,26.0,180.0
115,50%-65%,Full lever,75.0,25.0,180.0
116,65%-80%,Full lever,135.0,20.0,180.0
118,50%-65%,Straddle Halflay lever,67.0,25.0,180.0
119,65%-80%,Straddle Halflay lever,78.2,21.0,18034.0
120,65%-80%,Full lever,74.0,24.0,181.0
121,30%-50%,Advanced Tuck lever,71.0,12.0,181.0
122,10%-30%,Advanced Tuck lever,76.0,19.0,181.0
123,80%-90%,Straddle lever,78.0,27.0,181.0
124,10%-30%,Tuck lever,80.0,8.0,181.0
125,65%-80%,Straddle Halflay lever,85.0,25.0,181.0
126,65%-80%,Straddle Halflay lever,70.0,30.0,181.0
127,50%-65%,Straddle Halflay lever,89.0,21.0,182.0
128,50%-65%,Full lever,78.0,20.0,182.0
129,50%-65%,Advanced Tuck lever,82.0,22.0,182.0
130,10%-30%,Full lever,72.0,15.0,182.0
131,10%-30%,Advanced Tuck lever,71.5,10.0,182.0
132,65%-80%,Full lever,75.0,15.0,182.0
133,80%-90%,Full lever,93.0,25.0,182.0
134,50%-65%,Tuck lever,68.0,11.0,182.0
135,65%-80%,Full lever,84.0,30.0,183.0
136,50%-65%,Straddle Halflay lever,72.0,23.0,183.0
137,30%-50%,Advanced Tuck lever,91.0,13.0,183.0
138,50%-65%,Straddle Halflay lever,75.0,18.0,183.0
139,30%-50%,Advanced Tuck lever,70.0,15.0,183.0
140,30%-50%,Advanced Tuck lever,80.0,16.0,183.0
141,30%-50%,Tuck lever,80.0,18.0,183.0
142,30%-50%,Straddle lever,64.0,15.0,183.0
143,<10% (so usually couple of pullups with BW),Tuck lever,85.0,12.0,183.0
144,30%-50%,Advanced Tuck lever,75.0,15.0,183.0
145,30%-50%,Advanced Tuck lever,80.0,16.0,183.0
146,>90%,Advanced Tuck lever,74.0,15.0,184.0
147,50%-65%,Full lever,85.0,21.0,184.0
148,30%-50%,No tuck lever,66.0,13.0,184.0
150,50%-65%,Advanced Tuck lever,73.0,20.0,184.0
151,>90%,Full lever,70.0,25.0,184.0
152,50%-65%,Advanced Tuck lever,74.0,16.0,185.0
153,65%-80%,Straddle Halflay lever,90.0,25.0,185.0
154,50%-65%,Advanced Tuck lever,77.0,10.0,185.0
155,65%-80%,Straddle Halflay lever,84.0,10.0,185.0
156,50%-65%,Tuck lever,79.0,20.0,186.0
157,50%-65%,Straddle lever,83.0,15.0,186.0
158,10%-30%,Advanced Tuck lever,71.0,14.0,186.0
159,65%-80%,Straddle lever,89.0,20.0,187.0
161,30%-50%,Advanced Tuck lever,88.0,18.0,187.0
162,65%-80%,Full lever,81.0,27.0,188.0
163,10%-30%,Advanced Tuck lever,73.0,10.0,188.0
164,>90%,Straddle Halflay lever,80.0,25.0,188.0
165,>90%,Full lever,83.5,26.0,188.0
166,50%-65%,Advanced Tuck lever,73.0,14.0,189.0
167,30%-50%,Advanced Tuck lever,72.0,10.0,189.0
168,65%-80%,Full lever,85.0,27.0,190.0
169,50%-65%,Advanced Tuck lever,83.0,17.0,190.0
170,10%-30%,Advanced Tuck lever,85.0,12.0,190.0
171,65%-80%,No tuck lever,88.0,16.0,195.0
172,30%-50%,Advanced Tuck lever,125.0,16.0,203.0
173,50%-65%,Straddle Halflay lever,67.0,18.0,173.0
174,80%-90%,Straddle lever,72.0,27.0,178.0
175,>90%,Full lever,72.5,35.0,177.8
176,65%-80%,Straddle lever,70.0,22.0,170.18
289,65%-80%,Full lever,73.0,27.0,174.0
290,65%-80%,Advanced Tuck lever,78.0,14.0,178.0
291,50%-65%,Full lever,82.0,22.0,175.0
292,65%-80%,Full lever,73.0,27.0,176.0
293,65%-80%,Full lever,70.0,17.0,175.0
295,10%-30%,No tuck lever,80.0,8.0,177.0
296,65%-80%,Advanced Tuck lever,65.0,21.0,170.0
298,10%-30%,Straddle Halflay lever,74.0,16.0,184.0
299,10%-30%,Advanced Tuck lever,64.0,16.0,173.0
300,10%-30%,Tuck lever,72.0,8.0,175.0
301,10%-30%,Advanced Tuck lever,75.0,12.0,180.0
302,65%-80%,Full lever,67.0,17.0,170.0
303,50%-65%,Straddle lever,76.0,10.0,173.0
304,50%-65%,Straddle lever,73.0,22.0,170.0
305,65%-80%,Full lever,62.0,10.0,183.0
306,50%-65%,Straddle lever,85.0,22.0,191.0
307,30%-50%,Straddle Halflay lever,67.0,20.0,1778.0
308,50%-65%,Full lever,78.0,24.0,180.0
309,30%-50%,Full lever,65.0,18.0,167.0
310,80%-90%,Full lever,62.0,16.0,175.0
312,80%-90%,Full lever,80.0,18.0,178.0
313,80%-90%,Full lever,75.0,12.0,175.0
314,65%-80%,Straddle lever,78.0,25.0,183.0
315,50%-65%,Straddle Halflay lever,56.0,22.0,170.0
316,50%-65%,Full lever,68.0,20.0,176.0
317,80%-90%,Full lever,80.0,15.0,185.0
318,30%-50%,Advanced Tuck lever,80.0,16.0,183.0
319,30%-50%,Full lever,66.0,35.0,165.0
320,80%-90%,Full lever,81.0,26.0,183.0
321,50%-65%,Straddle Halflay lever,67.0,18.0,169.0
322,50%-65%,Advanced Tuck lever,70.0,23.0,183.0
323,50%-65%,Advanced Tuck lever,85.0,16.0,186.0
